,English,Meaning
2588,found,set up
2589,burden,weight to be carried or borne
2590,react,show a response to something
2591,chamber,a natural or artificial enclosed space
2592,furniture,furnishings that make a room or other area ready for occupancy
2593,cooperation,the practice of working together on a common enterprise
2594,string,a lightweight cord
2595,ceremony,a formal event performed on a special occasion
2596,communicate,transfer to another
2597,taste,the faculty or act of tasting
2598,cheek,either side of the face below the eyes
2599,lost,confused as to time or place or personal identity
2600,profile,"an outline of something, especially a face from the side"
2601,mechanism,device consisting of a piece of machinery
2602,disagree,be of different opinions
2603,like,having the same or similar characteristics
2604,penalty,the disadvantage or painful consequences of an action
2605,match,a formal contest in which people or teams compete
2606,ie,that is to say; in other words
2607,advance,move forward
2608,resort,have recourse to
2609,destruction,an event that completely ruins something
2610,bear,be pregnant with
2611,unlikely,not likely to be true or to occur or to have occurred
2612,tissue,part of an organism consisting of an aggregate of cells
2613,constitutional,existing as an essential characteristic
2614,pant,"breathe noisily, as when one is exhausted"
2615,stranger,an individual that one is not acquainted with
2616,infection,the invasion of the body by pathogenic microorganisms
2617,cabinet,a storage compartment for clothes and valuables
2618,broken,physically and forcibly separated into pieces or cracked or split
2619,apple,a tree widely cultivated for its firm rounded edible fruits
2620,electric,using or providing the flow of charge through a conductor
2621,proceed,move ahead; travel onward in time or space
2622,track,a line or route along which something travels or moves
2623,bet,stake on the outcome of an issue
2624,literary,relating to or characteristic of creative writing
2625,virus,infectious agent that replicates itself within living hosts
2626,stupid,lacking or marked by lack of intellectual acuity
2627,dispute,the act of coming into conflict
2628,fortune,your overall circumstances or condition in life
2629,strategic,relating to an elaborate and systematic plan of action
2630,assistant,a person who contributes to the furtherance of an effort
2631,overcome,win a victory over
2632,remarkable,unusual or striking
2633,occupy,live in (a certain place)
2634,statistics,a branch of mathematics concerned with quantitative data
2635,shopping,searching for or buying goods or services
2636,cousin,the child of your aunt or uncle
2637,encounter,come together
2638,wipe,rub with a circular motion
2639,initially,at the beginning
2640,blind,unable to see
2641,white,being of the achromatic color of maximum lightness
2642,port,where people and merchandise can enter or leave a country
2643,honor,a tangible symbol signifying approval or distinction
2644,electricity,"a physical phenomenon that can produce light, heat and power"
2645,genetic,relating to the study of heredity and variation in organisms
2646,adviser,an expert who gives advice
2647,pay,"give money, usually in exchange for goods or services"
2648,spokesman,a male spokesperson
2649,retain,secure and keep for possible future use or application
2650,latter,the second of two or the second mentioned of two
2651,incentive,a positive motivational influence
2652,slave,a person who is forcibly held in servitude
2653,chemical,produced by reactions involving atomic or molecular changes
2654,translate,restate from one language into another language
2655,accurate,characterized by perfect conformity to fact or truth
2656,terror,an overwhelming feeling of fear and anxiety
2657,though,(postpositive) however
2658,expansion,the act of increasing in size or volume or quantity or scope
2659,elite,a group or class of persons enjoying superior status
2660,Olympic,of or relating to the Olympic Games
2661,dirt,the part of the earth's surface consisting of humus and disintegrated rock
2662,odd,not divisible by two
2663,rice,annual or perennial rhizomatous marsh grasses
2664,bullet,a projectile that is fired from a gun
2665,tight,closely constrained or constricted or constricting
2666,Bible,the sacred writings of the Christian religions
2667,chart,a visual display of data or information
2668,solar,relating to the sun or utilizing the energies of the sun
2669,decline,grow worse
2670,conservative,resistant to change
2671,process,a particular course of action intended to achieve a result
2672,square,a polygon with four equal sides and four right angles
2673,stick,a long thin implement resembling a length of wood
2674,concentration,the spatial property of being crowded together
2675,complicated,difficult to analyze or understand
2676,gently,in a gentle manner
2677,champion,someone who has won first place in a competition
2678,scenario,a postulated sequence of possible events
2679,telescope,a magnifier of images of distant objects
2680,reflection,the phenomenon of a wave being thrown back from a surface
2681,revolution,a single complete turn
2682,strip,take off or remove
2683,interpret,make sense of; assign a meaning to
2684,friendly,characteristic of or befitting an ally
2685,tournament,a competition in which contestants play a series of games
2686,fiction,a literary work based on the imagination
2687,detect,"discover or determine the existence, presence, or fact of"
2688,balance,harmonious arrangement or relation of parts within a whole
2689,likely,having a good chance of being the case or of coming about
2690,tremendous,extraordinarily large in extent or amount or power
2691,lifetime,the period during which something is functional
2692,recommendation,praise of a person or thing as worthy or desirable
2693,flow,"move along, of liquids"
2694,senator,a member of a legislative assembly
2695,market,a store where groceries are sold
2696,hunting,the activity of looking thoroughly in order to find something or someone
2697,salad,food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
2698,guarantee,an unconditional commitment that something will happen
2699,innocent,free from sin
2700,boundary,the line indicating the limit or extent of something
2701,pause,cease an action temporarily
2702,remote,located far away spatially
2703,satisfaction,the state of being gratified
2704,journal,a daily written record of experiences and observations
2705,bench,a long seat for more than one person
2706,lover,a person who loves someone or is loved by someone
2707,raw,not treated with heat to prepare it for eating
2708,awareness,state of elementary or undifferentiated consciousness
2709,surprising,causing surprise or wonder or amazement
2710,withdraw,pull back or move away or backward
2711,general,applying to all or most members of a category or group
2712,deck,any of various platforms built into a sailing vessel
2713,similarly,in like manner
2714,newly,very recently
2715,pole,"a long rod of wood, metal, or plastic"
2716,testify,give a solemn statement in a court of law
2717,mode,how something is done or how it happens
2718,dialogue,a conversation between two persons
2719,imply,express or state indirectly
2720,naturally,in a natural or normal manner
2721,mutual,common to or shared by two or more parties
2722,founder,a person who establishes some institution
2723,top,the upper part of anything
2724,advanced,situated ahead or going before
2725,pride,a feeling of self-respect and personal worth
2726,dismiss,stop associating with
2727,aircraft,a vehicle that can fly
2728,delivery,voluntary transfer of something from one party to another
2729,mainly,for the most part
2730,bake,cook and make edible by putting in a hot oven
2731,freeze,change from a liquid to a solid when cold
2732,platform,a raised horizontal surface
2733,finance,the commercial activity of providing funds and capital
2734,sink,fall or descend to a lower place or level
2735,attractive,pleasing to the eye or mind as through beauty or charm
2736,respect,regard highly; think much of
2737,diverse,distinctly dissimilar or unlike
2738,relevant,having a bearing on or connection with the subject at issue
2739,ideal,a principle or value that one hopes to attain or conform to
2740,joy,the emotion of great happiness
2741,worth,the quality of being desirable or valuable
2742,regularly,in a regular manner
2743,working,a mine or quarry that is being or has been worked
2744,singer,a person who sings
2745,evolve,undergo development
2746,shooting,the act of firing a projectile
2747,partly,in part; in some degree; not wholly
2748,unknown,not known
2749,assistant,a person who contributes to the furtherance of an effort
2750,offense,a failure to show regard for others
2751,counter,a calculator recording the number of times something happens
2752,DNA,material that carries genetic information in a cell
2753,smell,the faculty that enables us to distinguish scents
2754,potentially,with a possibility of becoming actual
2755,transfer,move from one place to another
2756,thirty,the cardinal number that is the product of ten and three
2757,justify,show to be right by providing proof
2758,protest,a formal and solemn declaration of objection
2759,crash,break violently or noisily
2760,craft,the skilled practice of a practical occupation
2761,treaty,a written agreement between two states or sovereigns
2762,terrorist,a radical who advocates violence against civilians
2763,insight,clear or deep perception of a situation
2764,possess,have ownership of
2765,politically,with regard to government
2766,tap,strike lightly
2767,lie,be prostrate; be in a horizontal position
2768,extensive,large in spatial extent or range or scope or quantity
2769,episode,a happening that is distinctive in a series of events
2770,double,consisting of or involving two parts or components usually in pairs
2771,swim,travel through water
2772,tire,lose interest or become bored with something or somebody
2773,fault,an imperfection in an object or machine
2774,loose,not affixed
2775,free,able to act at will
2776,shortly,in the near future
2777,originally,with reference to the origin or beginning
2778,considerable,"large in number, amount, extent, or degree"
2779,prior,earlier in time
2780,intellectual,of or associated with or requiring the use of the mind
2781,mix,mix together different elements
2782,assault,attack someone physically or emotionally
2783,relax,make less taut
2784,stair,support consisting of a place to rest the foot while ascending or descending a stairway
2785,adventure,a wild and exciting undertaking
2786,external,happening or arising outside some limits or surface
2787,proof,any evidence that helps to establish the truth of something
2788,confident,having or marked by assurance
2789,headquarters,the main office or administrative center of a business
2790,sudden,happening without warning or in a short space of time
2791,dirty,soiled or likely to soil with dirt or grime
2792,violation,an act that disregards an agreement or a right
2793,tongue,a mobile mass of muscular tissue located in the oral cavity
2794,license,a legal document giving official permission to do something
2795,hold,have in one's hands or grip
2796,shelter,covering that provides protection from the weather
2797,rub,move over something with pressure
2798,controversy,a dispute where there is strong disagreement
2799,entrance,something that provides access to get in
2800,favorite,preferred above all others and treated with partiality
2801,practice,a customary way of operation or behavior
2802,properly,in the right manner
2803,fade,become less clearly visible or distinguishable
2804,defensive,an attitude of excessive sensitivity to criticism
2805,tragedy,an event resulting in great loss and misfortune
2806,net,an open fabric of string or rope or wire woven together
2807,characterize,be typical of
2808,funeral,a ceremony at which a dead person is buried or cremated
2809,profession,an occupation requiring special education
2810,alter,cause to change; make different
2811,spot,a point located with respect to surface features of some region
2812,constitute,form or compose
2813,establishment,the act of forming something
2814,squeeze,press firmly
2815,imagination,the ability to form mental pictures of things or events
2816,target,a reference point to shoot at
2817,mask,a covering to disguise or conceal the face
2818,convert,"change the nature, purpose, or function of something"
2819,comprehensive,including all or everything
2820,prominent,conspicuous in position or importance
2821,presentation,"the act of formally giving something, as a prize"
2822,regardless,in spite of everything
2823,easy,posing no difficulty; requiring little effort
2824,load,weight to be borne or conveyed
2825,stable,resistant to change of position or condition
2826,introduction,the act of beginning something new
2827,appeal,earnest or urgent request
2828,pretend,make believe with the intent to deceive
2829,not,negation of a word or group of words
2830,elderly,very old or advanced in years
2831,representation,standing in for someone and speaking on their behalf
2832,deer,a deer or closely related animal with hooves and antlers
2833,split,separate into parts or portions
2834,violate,fail to agree with; go against
2835,partnership,a cooperative relationship between people or groups
2836,pollution,contamination of the natural environment
2837,emission,the act of causing to flow forth
2838,steady,securely in position; not shaky
2839,vital,performing an essential function in the living body
2840,neither,not either; not one or the other
2841,fate,the ultimate agency predetermining the course of events
2842,earnings,something that remunerates
2843,oven,kitchen appliance used for baking or roasting
2844,distinction,a discrimination between things as different
2845,segment,one of several parts that fit with others to make a whole
2846,nowhere,not anywhere; in or at or to no place
2847,poet,a writer of verse consisting of lines that often rhyme
2848,mere,being nothing more than specified
2849,exciting,creating or arousing uncontrolled emotion
2850,variation,the process of being or becoming different
2851,comfort,a state of being relaxed and feeling no pain
2852,radical,far beyond the norm
2853,stress,special emphasis attached to something
2854,adapt,"make fit for, or change to suit a new purpose"
2855,Irish,of or relating to or characteristic of Ireland or its people
2856,honey,a sweet yellow liquid produced by bees
2857,correspondent,a journalist who supplies stories for news media
2858,pale,very light in color or highly diluted with white
2859,musician,someone who plays a musical instrument (as a profession)
2860,significance,the quality of being important
2861,load,weight to be borne or conveyed
2862,round,having a circular shape
2863,vessel,"an object used as a container, especially for liquids"
2864,storage,the act of keeping something for future use
2865,flee,run away quickly
2866,leather,animal skin made smooth and flexible by tanning
2867,distribute,give to several people
2868,evolution,sequence of events involved in the development of a species
2869,ill,affected by an impairment of normal physical or mental function
2870,tribe,a group of people with shared ancestry and customs
2871,shelf,a support that consists of a horizontal surface for holding objects
2872,can,"airtight sealed metal container for food or drink, etc."
2873,grandfather,the father of your father or mother
2874,lawn,a field of cultivated and mowed grass
2875,buyer,a person who buys
2876,dining,the act of eating dinner
2877,wisdom,accumulated knowledge or erudition or enlightenment
2878,council,a body serving in an administrative capacity
2879,vulnerable,capable of being wounded or hurt
2880,instance,an item of information that is typical of a class or group
2881,garlic,bulbous herb of southern Europe widely naturalized
2882,capability,the quality of being able to do something
2883,poetry,literature in metrical form
2884,celebrity,the state or quality of being widely honored and acclaimed
2885,gradually,in a gradual manner
2886,stability,the quality or attribute of being firm and steadfast
2887,doubt,the state of being unsure of something
2888,fantasy,imagination unrestricted by reality
2889,scared,made afraid
2890,guide,someone employed to conduct others
2891,plot,a small area of ground covered by specific vegetation
2892,framework,the underlying structure
2893,gesture,motion of hands or body to emphasize a thought or feeling
2894,ongoing,currently happening
2895,psychology,the science of mental life
2896,counselor,someone who gives advice about problems
2897,witness,someone who sees an event and reports what happened
2898,chapter,a subdivision of a written work; usually numbered and titled
2899,fellow,a boy or man
2900,divorce,the legal dissolution of a marriage
2901,owe,be obliged to pay or repay
2902,pipe,a hollow cylindrical shape
2903,athletic,relating to sports
2904,slight,small in quantity or degree
2905,math,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
2906,shade,relative darkness caused when sunlight is blocked
2907,tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
2908,sustain,lengthen or extend in duration or space
2909,mount,"go up, advance, or increase"
2910,obligation,the state of being bound to do or pay something
2911,angle,the space between two lines or planes that intersect
2912,palm,the inner surface of the hand
2913,differ,be dissimilar or unlike
2914,custom,accepted or habitual practice
2915,store,a mercantile establishment for the sale of goods or services
2916,economist,an expert in the circulation of goods and services
2917,fifteen,the cardinal number that is the sum of fourteen and one
2918,soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
2919,celebration,a joyful occasion for festivities to mark some happy event
2920,efficient,"being effective without wasting time, effort, or expense"
2921,damage,the occurrence of a change for the worse
2922,composition,the way in which someone or something is put together
2923,satisfy,meet the requirements or expectations of
2924,pile,a collection of objects laid on top of each other
2925,briefly,for a short time
2926,carbon,an abundant nonmetallic element in all organic compounds
2927,closer,(comparative of `near' or `close') within a shorter distance
2928,consume,take in as food
2929,scheme,an elaborate and systematic plan of action
2930,crack,a narrow opening
2931,frequency,the number of occurrences within a given time period
2932,tobacco,aromatic annual or perennial herbs and shrubs
2933,survivor,one who lives through affliction
2934,besides,in addition
2935,in,to or toward the inside of
2936,psychologist,a specialist in the science of mental life
2937,wealthy,having an abundant supply of money or possessions of value
2938,galaxy,a collection of star systems
2939,given,acknowledged as a supposition
2940,fund,a reserve of money set aside for some purpose
2941,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow
2942,limitation,an act of restricting (as by regulation)
2943,OK,an expression of agreement normally occurring at the beginning of a sentence
2944,trace,an indication that something has been present
2945,appointment,a meeting arranged in advance
2946,preference,the right or chance to choose
2947,meter,a basic unit of length (approximately 1.094 yards)
2948,explosion,the act of bursting
2949,arrest,take into custody
2950,publicly,in a manner accessible to or observable by the public
2951,incredible,amazing; extraordinarily good or great
2952,fighter,someone who fights (or is fighting)
2953,rapid,characterized by speed
2954,admission,the act of letting someone enter
2955,hunter,a person who searches for something
2956,educate,give knowledge acquired by learning and instruction
2957,painful,causing physical or psychological pain
2958,friendship,the state of being a helpful ally
2959,aide,someone who acts as an assistant
2960,infant,a very young child who has not yet begun to walk or talk
2961,calculate,make a mathematical computation
2962,fifty,the cardinal number that is the product of ten and five
2963,rid,relieve from
2964,porch,a structure attached to the exterior of a building often forming a covered entrance
2965,tendency,an inclination to do something
2966,uniform,clothing of distinctive design worn by members of a group
2967,formation,the act of establishing or creating something
2968,scholarship,profound learned knowledge
2969,reservation,the act of setting aside for some future occasion
2970,efficiency,skillfulness in avoiding wasted time and effort
2971,waste,use inefficiently or inappropriately
2972,qualify,prove capable or fit; meet requirements
2973,mall,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace
2974,derive,come from
2975,scandal,a disgraceful event
2976,PC,a small digital computer based on a microprocessor and designed to be used by one person at a time
2977,helpful,providing assistance or serving a useful function
2978,impress,have a powerful and usually positive effect on
2979,heel,the back part of the human foot
2980,resemble,be similar or bear a likeness to
2981,privacy,the condition of being concealed or hidden
2982,fabric,artifact made by weaving or felting or knitting fibers
2983,surprise,come upon or take unawares
2984,contest,a struggle between rivals
2985,proportion,relation with respect to comparative quantity or magnitude
2986,guideline,a rule that provides direction for appropriate behavior
2987,rifle,a firearm with a long barrel
2988,maintenance,activity involved in keeping something in good working order
2989,conviction,an unshakable belief in something without need for proof
2990,trick,a cunning or deceitful action or device
2991,organic,having properties characteristic of living beings
2992,tent,a portable shelter
2993,examination,the act of scrutinizing something closely (as for mistakes)
2994,publisher,a person engaged in issuing periodicals or books or music
2995,strengthen,make strong or stronger
2996,French,of or pertaining to France or the people of France
2997,myth,a traditional story serving to explain a world view
2998,sophisticated,having worldly knowledge and refinement
2999,cow,female of domestic cattle
3000,standing,status or reputation
3001,asleep,in a state of sleep
3002,tennis,a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
3003,nerve,a bundle of fibers running to organs and tissues of the body
3004,barrel,a bulging cylindrical shape; hollow with flat ends
3005,bombing,an attack by dropping bombs
3006,membership,the state of being one of the persons in a social group
3007,ratio,relation with respect to comparative quantity or magnitude
3008,menu,a list of dishes available at a restaurant
3009,purchase,acquire by means of a financial transaction
3010,controversial,marked by or capable of causing disagreement
3011,desperate,a person who is frightened and in need of help
3012,rate,a quantity considered as a proportion of another quantity
3013,lifestyle,a manner of living that reflects one's values and attitudes
3014,humor,a message that has the power to evoke laughter
3015,loud,characterized by sound of great volume or intensity
3016,glove,handwear: covers the hand and wrist
3017,suspect,regard as untrustworthy
3018,sufficient,of a quantity that can fulfill a need or requirement
3019,narrative,an account that tells the particulars of an act or event
3020,photographer,someone who takes photographs professionally
3021,helicopter,an aircraft without wings that obtains its lift from the rotation of overhead blades
3022,Catholic,of or relating to or supporting Catholicism
3023,modest,marked by simplicity; having a humble opinion of yourself
3024,provider,someone who supplies the means for subsistence
3025,delay,time during which some action is awaited
3026,agricultural,relating to or used in or promoting farming
3027,explode,burst and release energy as through a violent reaction
3028,stroke,a single complete movement
3029,scope,the state of the environment in which a situation exists
3030,punishment,the act of imposing a penalty
3031,handful,the quantity that can be held in the hand
3032,badly,to a severe or serious degree
3033,horizon,the line at which the sky and Earth appear to meet
3034,curious,eager to investigate and learn or learn more
3035,downtown,the central area or commercial center of a town or city
3036,girlfriend,a girl or woman with whom one is romantically involved
3037,prompt,according to schedule or without delay
3038,request,express the need or desire for; ask for
3039,cholesterol,a substance in the blood that can cause heart disease
3040,absorb,take in a liquid
3041,adjustment,the act of making something different
3042,taxpayer,someone who pays taxes
3043,eager,having or showing keen interest or intense desire
3044,principal,main or most important
3045,detailed,developed with careful treatment of particulars
3046,motivation,psychological feature arousing action toward a desired goal
3047,assignment,an undertaking that you have been told to perform
3048,restriction,an act of limiting
3049,across,to the opposite side
3050,Palestinian,of or relating to the area of Palestine and its inhabitants
3051,laboratory,a workplace for the conduct of scientific research
3052,workshop,a place where handcrafts or manufacturing are done
3053,differently,in another and different manner
3054,auto,a motor vehicle with four wheels
3055,romantic,expressive of or exciting love
3056,cotton,erect bushy mallow plant or small tree bearing bolls containing seeds with many long hairy fibers
3057,motor,machine that creates mechanical energy and imparts movement
3058,sue,institute legal proceedings against; file a suit against
3059,flavor,the taste experience when a savory condiment is taken into the mouth
3060,overlook,have a view of something from above
3061,float,be on or below a liquid surface and not sink to the bottom
3062,undergo,pass through
3063,sequence,a following of one thing after another in time
3064,demonstration,a show or display
3065,jet,a hard black form of lignite that takes a brilliant polish
3066,orange,any citrus tree bearing oranges
3067,consumption,the act of using something up
3068,assert,declare or affirm solemnly and formally as true
3069,blade,the flat part of a tool or weapon that has a cutting edge
3070,temporary,not permanent; not lasting
3071,medication,something that treats or prevents the symptoms of disease
3072,print,"the text appearing in a book, newspaper, or other printed publication"
3073,cabin,a small house built of wood; usually in a wooded area
3074,bite,"to grip, cut off, or tear with or as if with the teeth or jaws"
3075,relative,not absolute or complete
3076,edition,the form in which a text is published
3077,valley,a long depression in the surface of the land
3078,pitch,the high or low quality of a sound
3079,pine,a coniferous tree
3080,brilliant,full of light; shining intensely
3081,manufacturing,the act of making something (a product) from raw materials
3082,risk,a source of danger
3083,Christian,a religious person who believes Jesus is the savior
3084,complex,complicated in structure
3085,absolute,perfect or complete or pure
3086,chef,a professional cook
3087,discrimination,unfair treatment of a person or group based on prejudice
3088,offensive,unpleasant or disgusting especially to the senses
3089,German,of or pertaining to or characteristic of Germany or its people or language
3090,suit,a set of garments for outerwear of the same fabric and color
3091,boom,a deep prolonged loud noise
3092,register,an official written record of names or events
3093,appoint,"assign a duty, responsibility, or obligation to"
3094,heritage,that which is inherited
3095,God,the supernatural being conceived as the perfect and omnipotent and omniscient originator and ruler of the universe; the object of worship in monotheistic religions
3096,terrorist,a radical who advocates violence against civilians
3097,dominant,most frequent or common
3098,successfully,in a manner marked by a favorable outcome
3099,shit,have a bowel movement
3100,lemon,yellow oval fruit with juicy acidic flesh
3101,hungry,feeling a need or desire to eat food
3102,sense,the faculty through which the world is perceived
3103,dry,free from liquid or moisture
3104,wander,move or cause to move in a sinuous or circular course
3105,submit,yield to the control of another
3106,economics,science dealing with the circulation of goods and services
3107,naked,completely unclothed
3108,anticipate,regard something as probable or likely
3109,nut,usually large hard-shelled seed
3110,legacy,a gift of personal property by will
3111,extension,act of expanding in scope
3112,shrug,raise one's shoulders to indicate indifference or resignation
3113,fly,travel through the air; be airborne
3114,battery,a collection of related things intended for use together
3115,arrival,the act of coming to a certain place
3116,legitimate,in accordance with accepted standards or principles
3117,orientation,the act of determining one's position
3118,inflation,the act of filling something with air
3119,cope,come to terms with
3120,flame,combustion of materials producing heat and light and smoke
3121,cluster,a grouping of a number of similar things
3122,host,a person who invites guests to a social event
3123,wound,an injury to living tissue
3124,dependent,a person who relies on another person for support
3125,shower,a brief period of precipitation
3126,institutional,relating to an organization founded for a specific purpose
3127,depict,give a description of
3128,operating,involved in a kind of operation
3129,flesh,the soft tissue of the body of a vertebrate
3130,garage,an outbuilding for housing automobiles
3131,operator,an agent that operates some apparatus or machine
3132,instructor,a person whose occupation is teaching
3133,collapse,"break down, literally or metaphorically"
3134,borrow,get temporarily
3135,furthermore,in addition
3136,comedy,a humorous incident or series of incidents
3137,mortgage,a conveyance of property as security for repaying a loan
3138,sanction,official permission or approval
3139,civilian,a nonmilitary citizen
3140,twelve,the cardinal number that is the sum of eleven and one
3141,weekly,a periodical that is published every week
3142,habitat,the type of environment in which an organism normally lives
3143,grain,a cereal grass
3144,brush,an implement that has hairs or bristles set into a handle
3145,consciousness,an alert cognitive state in which you are aware of yourself
3146,devote,dedicate
3147,crack,a narrow opening
3148,measurement,assigning numbers to phenomena according to a rule
3149,province,the territory in an administrative district of a nation
3150,ease,freedom from difficulty or hardship or effort
3151,seize,take hold of; grab
3152,ethics,motivation based on ideas of right and wrong
3153,nomination,the act of officially naming a candidate
3154,permission,approval to do something
3155,wise,having intelligence and discernment
3156,actress,a female actor
3157,summit,the top or extreme point of something
3158,acid,a sour water-soluble compound with a pH of less than 7
3159,odds,the likelihood of a thing occurring
3160,gifted,endowed with special talent or talents
3161,frustration,an act of hindering someone's plans or efforts
3162,medium,the surrounding environment
3163,function,what something is used for
3164,physically,in accord with physical laws
3165,grant,let have
3166,distinguish,mark as different
3167,shore,the land along the edge of a body of water
3168,repeatedly,several time
3169,lung,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
3170,firm,not soft or yielding to pressure
3171,running,the act of running; traveling on foot at a fast pace
3172,correct,free from error; especially conforming to fact or truth
3173,distinct,constituting a separate entity or part
3174,artistic,relating to the products of human creativity
3175,discourse,an extended communication dealing with some particular topic
3176,basket,a container that is usually woven and has handles
3177,fighting,the act of fighting; any contest or struggle
3178,impressive,making a strong or vivid mental image
3179,competitor,the contestant you hope to defeat
3180,ugly,displeasing to the sense of sight
3181,worried,afflicted with or marked by anxious uneasiness or trouble
3182,portray,"represent, as in a work of art"
3183,powder,a solid substance in the form of tiny loose particles
3184,ghost,the visible disembodied soul of a dead person
3185,persuade,cause somebody to adopt a certain position or belief
3186,moderate,marked by avoidance of extravagance or extremes
3187,subsequent,following in time or order
3188,continued,without stop or interruption
3189,cookie,any of various small flat sweet cakes
3190,carrier,a person or firm transporting people or goods or messages
3191,cooking,the act of preparing something by the application of heat
3192,frequent,coming at short intervals or habitually
3193,ban,prohibit especially by law or social pressure
3194,swing,change direction with a swinging motion; turn
3195,orange,any citrus tree bearing oranges
3196,awful,exceptionally bad or displeasing
3197,admire,feel high regard for
3198,pet,a domesticated animal kept for companionship or amusement
3199,miracle,a marvelous event brought about by a divine being
3200,exceed,be or do something to a greater degree
3201,rhythm,an interval during which a recurring sequence occurs
3202,widespread,widely circulated or diffused
3203,killing,the act of terminating a life
3204,lovely,lovable especially in a childlike or naive way
3205,sin,an act that is regarded as a transgression of God's will
3206,charity,an institution set up to provide help to the needy
3207,script,something written by hand
3208,tactic,a plan for attaining a particular goal
3209,identification,the act of designating something
3210,transformation,the act of changing in form or shape or appearance
3211,everyday,commonplace and ordinary
3212,headline,the title or caption of a newspaper article
3213,crash,break violently or noisily
3214,venture,an undertaking with an uncertain outcome
3215,invasion,any entry into an area not previously occupied
3216,military,the armed forces of a nation
3217,nonetheless,despite anything to the contrary
3218,adequate,having the requisite qualities or resources to meet a task
3219,piano,a musical instrument played by pressing black and white keys
3220,grocery,(usually plural) consumer goods sold by a grocer
3221,intensity,high level or degree
3222,exhibit,show; make visible or apparent
3223,high,being at or having a relatively great or specific elevation
3224,blanket,bedding that keeps a person warm in bed
3225,margin,the boundary line or area immediately inside the boundary
3226,principal,main or most important
3227,quarterback,the football player who directs the team's offensive play
3228,mouse,small rodent having a pointed snout and small ears
3229,rope,a strong line
3230,concrete,capable of being perceived by the senses
3231,prescription,the action of issuing authoritative rules or directions
3232,African-American,an American whose ancestors were born in Africa
3233,chase,go after with the intent to catch
3234,document,a representation of a person's thinking with symbolic marks
3235,brick,rectangular block of clay baked by the sun or in a kiln
3236,recruit,cause to assemble or enlist in the military
3237,patch,a small contrasting part of something
3238,consensus,agreement in the judgment reached by a group as a whole
3239,horror,intense and profound fear
3240,recording,a storage device on which information have been recorded
3241,changing,marked by continuous modification or effective action
3242,painter,an artist who paints
3243,colonial,relating to a body of people who settle far from home
3244,pie,dish baked in pastry-lined pan often with a pastry top
3245,sake,the purpose of achieving or obtaining
3246,gaze,a long fixed look
3247,courage,a quality of spirit that enables you to face danger or pain
3248,pregnancy,the state of being pregnant
3249,swear,to declare or affirm solemnly and formally as true
3250,defeat,an unsuccessful ending to a struggle or contest
3251,clue,evidence that helps to solve a problem
3252,reinforce,strengthen and support
3253,win,a victory (as in a race or other competition)
3254,confusion,a mistake that results from taking one thing to be another
3255,slice,a thin flat piece cut off of some object
3256,occupation,the principal activity in one's life to earn money
3257,dear,a beloved person
3258,coal,fossil fuel consisting of carbonized vegetable matter
3259,sacred,"made, declared, or believed to be holy"
3260,criminal,someone who has committed a punishable act
3261,formula,a group of symbols that make a mathematical statement
3262,cognitive,relating to or involving the mental process of knowing
3263,collective,done by or characteristic of individuals acting together
3264,exact,marked by strict and complete accordance with fact
3265,uncle,the brother of your father or mother
3266,square,a polygon with four equal sides and four right angles
3267,captain,the leader of a group of people
3268,sigh,breathe out deeply and heavily
3269,attribute,a quality belonging to or characteristic of an entity
3270,dare,a challenge to do something dangerous or foolhardy
3271,okay,being satisfactory or in satisfactory condition
3272,homeless,without nationality or citizenship
3273,cool,neither warm nor very cold; giving relief from heat
3274,gallery,a porch along the outside of a building
3275,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal
3276,defendant,someone against whom an action is brought in a court of law
3277,tunnel,"a passageway through or under something, usually underground"
3278,fitness,the quality of being suitable
3279,lap,the upper side of the thighs of a seated person
3280,grave,a place for the burial of a corpse
3281,toe,one of the digits of the foot
3282,container,any object that can be used to hold things
3283,virtue,the quality of doing what is right
3284,abroad,to or in a foreign country
3285,architect,someone who creates plans to be used in making something
3286,dramatically,with respect to dramatic value
3287,makeup,the way in which someone or something is composed
3288,inquiry,an instance of questioning
3289,rose,any of many shrubs of the genus Rosa that bear roses
3290,surprisingly,in a manner causing wonder or amazement
3291,highlight,an area of brightness in a picture
3292,decrease,a change downward
3293,indication,the act of pointing out by name
3294,rail,"a horizontal bar, usually of wood or metal"
3295,anniversary,the date on which an event occurred in some previous year
3296,couch,an upholstered seat for more than one person
3297,alliance,the state of being joined in an association or coalition
3298,hypothesis,a tentative insight that is not yet verified or tested
3299,boyfriend,a man who is the lover of a girl or young woman
3300,compose,form the substance of
3301,peer,look searchingly
3302,mess,a state of confusion and disorderliness
3303,rank,relative status
3304,legend,a story about mythical or supernatural beings or events
